L1,sigma1,sigma2,delta1,delta2
0.500000, -60000000.000000, -120000000.000000, 0.000200, -0.000200
0.510000, -60159362.549801, -120318725.099602, 0.000203, -0.000203
0.520000, -60317460.317460, -120634920.634921, 0.000206, -0.000206
0.530000, -60474308.300395, -120948616.600791, 0.000209, -0.000209
0.540000, -60629921.259843, -121259842.519685, 0.000213, -0.000213
0.550000, -60784313.725490, -121568627.450980, 0.000216, -0.000216
0.560000, -60937500.000000, -121875000.000000, 0.000219, -0.000219
0.570000, -61089494.163424, -122178988.326848, 0.000222, -0.000222
0.580000, -61240310.077519, -122480620.155039, 0.000225, -0.000225
0.590000, -61389961.389961, -122779922.779923, 0.000228, -0.000228
0.600000, -61538461.538462, -123076923.076923, 0.000231, -0.000231
0.610000, -61685823.754789, -123371647.509579, 0.000234, -0.000234
0.620000, -61832061.068702, -123664122.137405, 0.000237, -0.000237
0.630000, -61977186.311787, -123954372.623574, 0.000240, -0.000240
0.640000, -62121212.121212, -124242424.242424, 0.000242, -0.000242
0.650000, -62264150.943396, -124528301.886792, 0.000245, -0.000245
0.660000, -62406015.037594, -124812030.075188, 0.000248, -0.000248
0.670000, -62546816.479401, -125093632.958801, 0.000251, -0.000251
0.680000, -62686567.164179, -125373134.328358, 0.000254, -0.000254
0.690000, -62825278.810409, -125650557.620818, 0.000257, -0.000257
0.700000, -62962962.962963, -125925925.925926, 0.000259, -0.000259
0.710000, -63099630.996310, -126199261.992620, 0.000262, -0.000262
0.720000, -63235294.117647, -126470588.235294, 0.000265, -0.000265
0.730000, -63369963.369963, -126739926.739927, 0.000267, -0.000267
0.740000, -63503649.635036, -127007299.270073, 0.000270, -0.000270
0.750000, -63636363.636364, -127272727.272727, 0.000273, -0.000273
0.760000, -63768115.942029, -127536231.884058, 0.000275, -0.000275
0.770000, -63898916.967509, -127797833.935018, 0.000278, -0.000278
0.780000, -64028776.978417, -128057553.956835, 0.000281, -0.000281
0.790000, -64157706.093190, -128315412.186380, 0.000283, -0.000283
0.800000, -64285714.285714, -128571428.571429, 0.000286, -0.000286
0.810000, -64412811.387900, -128825622.775801, 0.000288, -0.000288
0.820000, -64539007.092199, -129078014.184397, 0.000291, -0.000291
0.830000, -64664310.954064, -129328621.908127, 0.000293, -0.000293
0.840000, -64788732.394366, -129577464.788732, 0.000296, -0.000296
0.850000, -64912280.701754, -129824561.403509, 0.000298, -0.000298
0.860000, -65034965.034965, -130069930.069930, 0.000301, -0.000301
0.870000, -65156794.425087, -130313588.850174, 0.000303, -0.000303
0.880000, -65277777.777778, -130555555.555556, 0.000306, -0.000306
0.890000, -65397923.875433, -130795847.750865, 0.000308, -0.000308
0.900000, -65517241.379310, -131034482.758621, 0.000310, -0.000310
0.910000, -65635738.831615, -131271477.663230, 0.000313, -0.000313
0.920000, -65753424.657534, -131506849.315068, 0.000315, -0.000315
0.930000, -65870307.167235, -131740614.334471, 0.000317, -0.000317
0.940000, -65986394.557823, -131972789.115646, 0.000320, -0.000320
0.950000, -66101694.915254, -132203389.830508, 0.000322, -0.000322
0.960000, -66216216.216216, -132432432.432432, 0.000324, -0.000324
0.970000, -66329966.329966, -132659932.659933, 0.000327, -0.000327
0.980000, -66442953.020134, -132885906.040268, 0.000329, -0.000329
0.990000, -66555183.946488, -133110367.892977, 0.000331, -0.000331
1.000000, -66666666.666667, -133333333.333333, 0.000333, -0.000333
1.010000, -66777408.637874, -133554817.275748, 0.000336, -0.000336
1.020000, -66887417.218543, -133774834.437086, 0.000338, -0.000338
1.030000, -66996699.669967, -133993399.339934, 0.000340, -0.000340
1.040000, -67105263.157895, -134210526.315789, 0.000342, -0.000342
1.050000, -67213114.754098, -134426229.508197, 0.000344, -0.000344
1.060000, -67320261.437909, -134640522.875817, 0.000346, -0.000346
1.070000, -67426710.097720, -134853420.195440, 0.000349, -0.000349
1.080000, -67532467.532468, -135064935.064935, 0.000351, -0.000351
1.090000, -67637540.453074, -135275080.906149, 0.000353, -0.000353
1.100000, -67741935.483871, -135483870.967742, 0.000355, -0.000355
1.110000, -67845659.163987, -135691318.327974, 0.000357, -0.000357
1.120000, -67948717.948718, -135897435.897436, 0.000359, -0.000359
1.130000, -68051118.210863, -136102236.421725, 0.000361, -0.000361
1.140000, -68152866.242038, -136305732.484076, 0.000363, -0.000363
1.150000, -68253968.253968, -136507936.507937, 0.000365, -0.000365
1.160000, -68354430.379747, -136708860.759494, 0.000367, -0.000367
1.170000, -68454258.675079, -136908517.350158, 0.000369, -0.000369
1.180000, -68553459.119497, -137106918.238994, 0.000371, -0.000371
1.190000, -68652037.617555, -137304075.235110, 0.000373, -0.000373
1.200000, -68750000.000000, -137500000.000000, 0.000375, -0.000375
1.210000, -68847352.024922, -137694704.049844, 0.000377, -0.000377
1.220000, -68944099.378882, -137888198.757764, 0.000379, -0.000379
1.230000, -69040247.678019, -138080495.356037, 0.000381, -0.000381
1.240000, -69135802.469136, -138271604.938272, 0.000383, -0.000383
1.250000, -69230769.230769, -138461538.461538, 0.000385, -0.000385
1.260000, -69325153.374233, -138650306.748466, 0.000387, -0.000387
1.270000, -69418960.244648, -138837920.489297, 0.000388, -0.000388
1.280000, -69512195.121951, -139024390.243902, 0.000390, -0.000390
1.290000, -69604863.221885, -139209726.443769, 0.000392, -0.000392
1.300000, -69696969.696970, -139393939.393939, 0.000394, -0.000394
1.310000, -69788519.637462, -139577039.274924, 0.000396, -0.000396
1.320000, -69879518.072289, -139759036.144578, 0.000398, -0.000398
1.330000, -69969969.969970, -139939939.939940, 0.000399, -0.000399
1.340000, -70059880.239521, -140119760.479042, 0.000401, -0.000401
1.350000, -70149253.731343, -140298507.462687, 0.000403, -0.000403
1.360000, -70238095.238095, -140476190.476190, 0.000405, -0.000405
1.370000, -70326409.495549, -140652818.991098, 0.000407, -0.000407
1.380000, -70414201.183432, -140828402.366864, 0.000408, -0.000408
1.390000, -70501474.926254, -141002949.852507, 0.000410, -0.000410
1.400000, -70588235.294118, -141176470.588235, 0.000412, -0.000412
1.410000, -70674486.803519, -141348973.607038, 0.000413, -0.000413
1.420000, -70760233.918129, -141520467.836257, 0.000415, -0.000415
1.430000, -70845481.049563, -141690962.099125, 0.000417, -0.000417
1.440000, -70930232.558140, -141860465.116279, 0.000419, -0.000419
1.450000, -71014492.753623, -142028985.507246, 0.000420, -0.000420
1.460000, -71098265.895954, -142196531.791908, 0.000422, -0.000422
1.470000, -71181556.195965, -142363112.391931, 0.000424, -0.000424
1.480000, -71264367.816092, -142528735.632184, 0.000425, -0.000425
1.490000, -71346704.871060, -142693409.742120, 0.000427, -0.000427
1.500000, -71428571.428571, -142857142.857143, 0.000429, -0.000429
